TEA,SLN,fam_affcckids,fam_lcckids,fam_tphh,fam_tphhpct,fam_affcckids_sd,fam_lcckids_sd,fam_tphh_sd,fam_tphhpct_sd
47,47,2.73887120175821,19.1720984123075,4496.57762575,0.764938617666782,1,1,1,2
69,69,1.26770062824395,1.26770062824395,1677.36639634,0.562008182873475,0,0,0,1
354,354,7.7350189399119,11.6025284098678,619.762256282,0.325935707377474,1,1,0,-1
62,62,18.1756964245801,36.3513928491602,1191.53382362,0.383777708399434,2,3,0,0
76,76,9.01195001390793,12.7227529608112,4464.81034625,0.600717147653375,1,1,1,1
353,353,5.21258048812416,6.25509658574899,4176.60222629,0.580557648438962,1,0,1,1
53,53,4.77980774025403,21.8505496697327,4180.76347192,0.627005477888823,1,2,1,1
55,55,7.74917682439154,15.4983536487831,2776.62550891,0.728137468093317,1,1,1,2
79,79,2.62832114804332,3.94248172206497,4879.24842463,0.719549378023489,0,0,1,2
77,77,8.96441091951749,17.928821839035,2513.04769024,0.503883161808687,1,1,1,1
68,68,12.1149389591541,15.4801997811414,3448.33552281,0.616270361129728,1,1,1,1
59,59,4.85864266497459,6.35360963881293,5603.22357009,0.605494200008137,1,0,2,1
48,48,6.66299105539323,16.3546144086925,4492.24253152,0.655540081070854,1,1,1,1
50,50,5.56318881898767,19.0737902365291,4710.32510207,0.763916539129158,1,1,1,2
72,72,24.3015320926459,21.697796511291,1344.59389339,0.341523830910041,3,2,0,0
43,43,7.98847873956044,9.98559842445055,2617.92556358,0.49221938332309,1,1,1,1
100,100,6.41988074685062,8.98783304559086,4563.96095504,0.569964271828817,1,1,1,1
284,284,6.43172401077379,17.1512640287301,4254.01818536,0.690921548969863,1,1,1,1
280,280,4.69746020429212,8.61201037453556,3384.10837566,0.501624456997507,1,1,1,1
169,169,5.92347037818637,30.8020459665691,3281.65427702,0.700760138376229,1,3,1,1
167,167,1.22028815217836,1.22028815217836,1671.8155514,0.559689641873984,0,0,0,1
187,187,4.25339285049969,4.25339285049969,1640.95681474,0.674024498083018,1,0,0,1
305,305,5.28074660345035,5.28074660345035,819.045116962,0.645225531124674,1,0,0,1
142,142,17.7073093797307,17.7073093797307,592.820805113,0.250977234366902,2,1,0,-1
301,301,8.9541986800568,13.4312980200852,329.044779004,0.402100961690939,1,1,-1,0
235,235,16.7719715119451,18.4491686631396,1264.45050566,0.313027739502478,2,1,0,-1
175,175,19.2378459645606,17.4889508768733,1289.11629297,0.332771900108157,2,1,0,0
264,264,20.8525839103601,24.1889973360178,1188.42365042,0.275705126611437,3,2,0,-1
226,226,16.04675659521,14.976972822196,1185.1145952,0.368835094680306,2,1,0,0
109,109,6.5181927278995,8.14774090987437,2468.10321616,0.578616137755456,1,1,1,1
117,117,6.99123704652755,7.98998519603148,1721.083191,0.522456229305594,1,1,0,1
266,266,7.42386094197827,8.1662470361761,2649.90498035,0.581720205557107,1,1,1,1
108,108,9.312339295652,14.8997428730432,4140.39811057,0.624662047972361,1,1,1,1
129,129,8.53134311807183,13.0813927810435,4367.29205481,0.607745094309608,1,1,1,1
218,218,7.34463284370483,13.6400324240233,4691.95189384,0.623643059591982,1,1,1,1
216,216,4.79159485610359,6.09839345322275,4968.09300701,0.599041944189152,1,0,1,1
139,139,10.631914146822,16.3567909951108,2094.12529137,0.500308501150852,1,1,1,1
240,240,7.38368236312941,8.96590001237142,4487.06921914,0.621180107257314,1,1,1,1
128,128,19.9054790534207,30.6238139283395,743.250879519,0.314393097008494,3,3,0,-1
200,200,15.9914957939959,21.7027442918516,1237.39110158,0.432144666078636,2,2,0,0
201,201,21.6154067732527,26.2472796532354,704.558515941,0.321501016520479,3,2,0,-1
232,232,9.64965531840559,12.062069148007,4096.99606016,0.645676732573525,1,1,1,1
209,209,6.17458317382438,6.94640607055243,2661.34419937,0.590153936023083,1,0,1,1
155,155,3.55550940566653,4.06343932076175,4187.97870526,0.576621104022797,1,0,1,1
247,247,7.57181828894456,8.65350661593664,4246.60631492,0.624934306507567,1,1,1,1
162,162,2.28929911143737,22.1298914105612,6128.52423396,0.795051282992609,0,2,2,2
174,174,3.49529561849504,22.3698919583682,5389.6199708,0.694804404263448,1,2,2,1
177,177,4.00981320832629,21.3856704444069,4273.31790198,0.613741637191579,1,2,1,1
184,184,3.67132605850625,21.2936911393362,4736.96156965,0.643340823617819,1,2,1,1
203,203,1.94386741603241,15.5509393282593,6142.34468051,0.759335317593411,0,1,2,2
281,281,3.8936455709554,27.2555189966878,3615.25960281,0.565568427020748,1,2,1,1
145,145,3.89808874880248,7.14649603947121,5287.01204033,0.752335144275538,1,0,2,2
168,168,7.44981191770788,14.8996238354158,2535.63868086,0.723904735836481,1,1,1,2
181,181,7.23546041902666,15.6768309078911,3039.57733427,0.727342446949046,1,1,1,2
283,283,5.41177888598679,16.2353366579604,2281.96709383,0.631211629304181,1,1,1,1
188,188,6.16393316422965,15.067392179228,3595.35826352,0.59644788889696,1,1,1,1
202,202,9.96832569317152,22.0727211777369,2857.96487433,0.516243793618915,1,2,1,1
131,131,7.5522880533059,26.4330081865707,3050.4694246,0.513918221169439,1,2,1,1
122,122,13.6355110838797,19.0897155174316,1388.44167979,0.49490827498985,1,1,0,1
260,260,12.2836001626545,19.6537602602472,1667.17555885,0.489048547622235,1,1,0,1
105,105,4.85622611838948,12.1405652959737,1629.89612996,0.562980220446944,1,1,0,1
103,103,4.28494240240308,11.4265130730749,1351.07070043,0.542896433475899,1,1,0,1
116,116,2.45044033335056,4.90088066670112,5398.60317421,0.730775397295619,0,0,2,2
278,278,2.35866735480364,7.07600206441091,5708.9336377,0.737521065118285,0,0,2,2
265,265,8.9438643122004,14.906440520334,1106.34563219,0.458263192003039,1,1,0,0
271,271,3.54156778188711,4.95819489464195,4490.39161401,0.719531566758971,1,0,1,2
272,272,5.77365293388961,8.29962609246632,5738.19777007,0.602346431472824,1,1,2,1
289,289,8.31532869239883,15.3513760475055,2916.43901054,0.511954287659635,1,1,1,1
112,112,9.52329891641712,18.2529895897995,2413.16600427,0.506040674300092,1,1,1,1
130,130,5.61326183657586,7.11013165966276,5675.66187255,0.613750338151677,1,0,2,1
136,136,5.18970133802444,6.91960178403258,4865.20716514,0.616688465133306,1,0,1,1
149,149,4.13479669486721,5.37523570332737,5113.22419078,0.611585235551791,1,0,2,1
152,152,8.9931589763041,12.2306962077736,5633.34703152,0.601209857919151,1,1,2,1
157,157,10.0884686179554,18.6248651408408,2655.4847793,0.534450783618667,1,1,1,1
158,158,6.78013283937672,9.57195224382595,5524.68215651,0.621774856624525,1,1,2,1
275,275,9.80469441482125,12.2558680185266,4640.69240701,0.625876941032673,1,1,1,1
190,190,7.22081961746646,9.3445900931919,5294.43417512,0.647315896015657,1,1,2,1
192,192,10.33650664943,15.729466640437,4465.09174863,0.564854076005544,1,1,1,1
197,197,9.80056607334162,16.3342767889027,3767.5852072,0.556328153458192,1,1,1,1
204,204,11.3844800758391,15.0068146454243,4272.06788337,0.593950439704183,1,1,1,1
239,239,4.47291477027164,6.70937215540745,5777.37989882,0.623027539611852,1,0,2,1
211,211,12.3219060683344,15.5645129284224,3589.41392222,0.619225683147889,1,1,1,1
229,229,8.45320625701178,11.9113360894257,5567.03521305,0.609654783704514,1,1,2,1
171,171,1.89168257542549,22.7001909051059,4497.65851323,0.742074932226138,0,2,1,2
125,125,7.36778044436992,14.7355608887398,4999.60368965,0.670324038300484,1,1,1,1
147,147,7.44050547340482,10.4167076627668,5100.84751595,0.626657365854166,1,1,2,1
153,153,3.19285395145608,21.2856930097072,4191.76986823,0.836849207132544,1,2,1,2
159,159,3.85831378573978,15.4332551429591,5837.39077975,0.742113071798848,1,1,2,2
166,166,7.02113180308747,11.7018863384791,5007.94054314,0.595409356282584,1,1,1,1
198,198,7.4741601114085,17.6661966269655,4592.29520938,0.706109359019521,1,1,1,1
199,199,7.64776890823765,19.8841991614179,4021.66940834,0.706684420552461,1,1,1,1
250,250,22.6298564928693,20.2888368556759,1510.95817592,0.356417245485618,3,1,0,0
172,172,6.03190672062405,8.84679652358194,4781.81182149,0.559444767441017,1,1,1,1
183,183,24.4036068651989,22.8291806158312,1773.61406221,0.399508743104019,3,2,0,0
210,210,3.1069707721725,5.59254738991049,3219.82463964,0.581467772589369,1,0,1,1
213,213,24.9813965210738,23.4200592385067,1473.45558442,0.346220520571951,3,2,0,0
215,215,28.6210266605295,27.6340947067182,1283.19977146,0.357908095114695,3,3,0,0
277,277,5.66596775497075,5.66596775497075,2603.94491071,0.514382660577491,1,0,1,1
219,219,16.920943818303,21.6588080874278,1878.51044662,0.374097422286546,2,2,0,0
225,225,10.7859814163528,14.1920808109906,2922.5785936,0.472908584769339,1,1,1,1
274,274,2.75079974945844,4.81389956155227,2913.0640649,0.590102730584521,1,0,1,1
236,236,3.83442267645487,6.39070446075812,1565.87805471,0.564159749283095,1,0,0,1
164,164,6.11943378717012,8.00233649091477,4678.29603004,0.644001526748516,1,1,1,1
287,287,3.02963862137264,4.54445793205896,4235.54436402,0.628718812278616,1,0,1,1
114,114,17.6113392930889,16.3967641694276,2352.39836574,0.464943304903313,2,1,1,1
115,115,11.4281843488886,14.1709485926219,3729.42564084,0.527673717258147,1,1,1,1
118,118,19.47269045731,14.3482982317021,1008.81174433,0.318370756569337,2,1,0,-1
6,6,1.68640117587174,16.8640117587174,4854.65156305,0.768476871599504,0,1,1,2
15,15,1.40915021265071,1.40915021265071,1500.09932355,0.547791170904316,0,0,0,1
380,380,8.66031855718194,12.9904778357729,331.790579262,0.397226209187108,1,1,-1,0
23,23,18.6746100400305,19.5638771847939,1233.28308987,0.317195427736758,2,1,0,-1
32,32,16.2987485846469,28.251164213388,1336.88729548,0.414695030825515,2,3,0,0
24,24,5.97753334507705,23.0562000452972,3708.29367263,0.602385552783327,1,2,1,1
22,22,4.7638455961558,21.0970304972614,4119.04662222,0.618204185187796,1,2,1,1
12,12,15.0137739088019,19.303423597031,1809.69261412,0.516843981216286,2,1,0,1
2,2,8.6081542476369,15.8919770725604,2948.95368609,0.52520616425221,1,1,1,1
18,18,9.24141662445431,12.3218888326057,5005.9832069,0.610824476826079,1,1,1,1
1,1,7.00325014584289,15.0839233910462,4662.24676054,0.632572461395808,1,1,1,1
8,8,7.08774323178562,9.0207641131817,2767.22922022,0.504800744829118,1,1,1,1
5,5,2.12456813660313,4.24913627320626,2786.40984943,0.577701673070243,0,0,1,1
60,60,15.3637975277503,17.2842722187191,3457.1773837,0.512994702893251,2,1,1,1
44,44,2.8009245873686,9.80323605579011,5205.88437667,0.77282755566643,1,1,2,2
54,54,2.15305322127558,19.3774789914803,3957.10943072,0.795808337137812,0,1,1,2
56,56,3.45000541241765,16.3875257089839,3733.27147349,0.607834261422209,1,1,1,1
83,83,4.74106288757754,13.6305558017854,6015.62291321,0.693709201203858,1,1,2,1
46,46,5.20434110001343,5.63803619168122,5066.23719083,0.609708626793866,1,0,2,1
45,45,7.14422076405061,7.85864284045567,2712.5940796,0.583352475139311,1,1,1,1
52,52,9.182483993508,11.2230359920653,4453.3223277,0.647593675659253,1,1,1,1
352,352,4.85381413359582,5.39312681510647,4007.32825085,0.613481669297872,1,0,1,1
42,42,16.9590920178545,20.3509104214253,1850.81215876,0.370334048096207,2,1,0,0
58,58,5.72872086435645,26.188438237058,3818.54690635,0.594243343368821,1,2,1,1
49,49,8.75180044478314,12.5025720639759,5203.67419538,0.601862316359177,1,1,2,1
163,163,14.9453121919965,17.7475582279959,1671.88535422,0.46705206642155,2,1,0,1
178,178,22.8147218330074,20.8016581418597,2036.07058789,0.421021745424337,3,2,1,0
185,185,15.77810912205,13.9218609900441,1241.31718265,0.357013944783324,2,1,0,0
189,189,21.5581544556286,22.1254743097241,2742.47527839,0.478503297332063,3,2,1,1
191,191,21.0649028872095,16.0494498188263,1031.68411842,0.309817964502919,3,1,0,-1
121,121,12.1021985184824,14.8526981817738,2885.44827894,0.460871543366123,1,1,1,1
133,133,9.69929642886925,13.4946732923398,4060.80273992,0.5176286290361,1,1,1,1
205,205,11.175881641167,15.1991990319871,3815.1735042,0.519916252974408,1,1,1,1
233,233,3.29839660421853,18.1411813232019,3927.0358986,0.60939716308427,1,1,1,1
120,120,1.94853640533242,5.84560921599725,5214.7350705,0.730341922746772,0,0,2,2
135,135,3.44232162366514,15.4904473064931,4407.6603077,0.775297065768599,1,1,1,2
148,148,2.29475386029816,22.9475386029816,3724.81504227,0.775761670319252,0,2,1,2
182,182,5.92948096219517,13.8354555784554,3511.59649439,0.738559949603032,1,1,1,2
193,193,1.4685609615285,32.308341153627,3513.14136801,0.874642855709335,0,3,1,3
224,224,0.950858556987725,13.3120197978281,4281.97425063,0.815218426695049,0,1,1,2
230,230,1.06681563592586,16.0022345388878,4043.61228653,0.819345363488286,0,1,1,2
195,195,2.16648862991061,23.8313749290167,4421.47916793,0.827979612332631,0,2,1,2
176,176,4.74986714935817,13.6558680544047,5996.2827784,0.693415587733891,1,1,2,1
286,286,6.7752038849126,14.1663353957263,5220.66947985,0.648810739170289,1,1,2,1
141,141,3.67810325763643,13.4863786113336,5988.70891467,0.728681207870179,1,1,2,2
101,101,8.82672181552062,10.1507300878487,4940.26666986,0.628984669958049,1,1,1,1
104,104,5.32540694563108,6.3904883347573,4365.3945006,0.663299115012467,1,0,1,1
110,110,6.36878343220841,7.56293032574749,5534.45516644,0.622661826815265,1,1,2,1
276,276,5.5347020519704,5.5347020519704,3711.42333392,0.641400018598909,1,0,1,1
137,137,6.86279362144598,7.48668395066834,3771.20859043,0.661250125513357,1,1,1,1
156,156,7.60471680859068,9.03060121020143,4556.12988627,0.632241057045953,1,1,1,1
170,170,6.3377079909202,6.3377079909202,2533.79053227,0.636471763034091,1,0,1,1
180,180,8.84517955142131,9.88578891041205,4260.85973422,0.638020501216751,1,1,1,1
237,237,4.68967801890409,5.1586458207945,4602.63895932,0.5977389691345,1,0,1,1
234,234,7.62095719898066,8.31377148979708,2821.67148907,0.592794230322907,1,1,1,1
161,161,8.22646007552261,9.40166865774013,3497.44344553,0.614954181711792,1,1,1,1
207,207,9.34441399874647,11.2132967984958,4825.29844388,0.641950539644441,1,1,1,1
222,222,7.33831740353869,8.56137030412847,3978.13173796,0.663358656402052,1,1,1,1
303,303,9.08534267441408,11.2230703625115,4227.57593726,0.660428152799176,1,1,1,1
119,119,3.3544303802776,15.0949367112492,4282.88519176,0.736304179626035,1,1,1,2
279,279,5.27387538110714,11.4267299923988,3716.39969502,0.626963335991382,1,1,1,1
304,304,7.64667761971493,16.2491899418942,3365.88962316,0.632699683831024,1,1,1,1
154,154,6.90900566347603,9.67260792886644,5176.23164178,0.601488464183287,1,1,2,1
126,126,6.23343025053514,6.23343025053514,794.846690583,0.625758500622974,1,0,0,1
208,208,10.0038144913296,10.0038144913296,461.749956997,0.603521528841458,1,1,0,1
244,244,1.98480263500573,1.98480263500573,1086.04942412,0.550190997200239,0,0,0,1
173,173,14.3011022766026,19.5699294311404,2786.35659241,0.535152423250397,2,1,1,1
194,194,5.16359403399176,15.4907821019753,3732.26566713,0.767222663703595,1,1,1,2
107,107,2.6424245020125,3.96363675301875,4867.13901109,0.720858132625676,0,0,1,2
13,13,14.2169819491999,19.9037747288799,1708.89042042,0.466993036954997,2,1,0,1
16,16,19.5260262026917,22.0952401767301,3152.77597639,0.497833502815671,2,2,1,1
7,7,2.94391622901916,11.7756649160767,5045.30428464,0.77921857756464,1,1,2,2
21,21,2.88063939889802,24.0053283241502,3841.84435434,0.677944615688552,1,2,1,1
28,28,5.78051181482673,12.7171259926188,5859.618304,0.670209400297109,1,1,2,1
14,14,5.80014303397101,7.34684784302995,5772.5397009,0.632074903802058,1,1,2,1
17,17,6.01254958352739,6.68061064836377,3572.37626268,0.663319343454137,1,0,1,1
25,25,7.0697401857381,8.7012186901392,4365.95644753,0.630359834224567,1,1,1,1
9,9,18.5486323250629,22.8290859385389,864.973579268,0.374208800908226,2,2,0,0
206,206,9.45595741329246,16.0023894686488,4037.21188828,0.655671696932987,1,1,1,1
263,263,14.5745999449574,13.4534768722684,964.345038425,0.3354041058072,2,1,0,0
51,51,17.7068225655596,16.3447592912858,2026.56651308,0.445093230015565,2,1,1,0
273,273,5.91547119023721,6.76053850312824,5338.07440006,0.62909000042581,1,0,2,1
